iter,lr,loss,loss_cls,loss_bbox
1,1e-06,3.7169,1.1317,2.5852
2,3.002e-06,1.9248,1.1297,0.7952
3,5.004e-06,1.7305,1.1286,0.6019
4,7.006e-06,4.598,1.1292,3.4688
5,9.008e-06,3.0272,1.1376,1.8896
6,1.101e-05,2.7486,1.1293,1.6194
7,1.3012e-05,1.7669,1.1288,0.6381
8,1.5014e-05,1.7738,1.1286,0.6452
9,1.7016e-05,3.5229,1.1287,2.3942
10,1.9018e-05,3.4544,1.1291,2.3253
11,2.102e-05,3.062,1.1291,1.9329
12,2.3022e-05,1.7337,1.1307,0.603
13,2.5024e-05,2.9587,1.1288,1.8299
14,2.7026e-05,1.7981,1.1287,0.6694
15,2.9028e-05,3.1276,1.1289,1.9987
16,3.103e-05,1.775,1.1287,0.6463
17,3.3032e-05,1.7337,1.1287,0.6049
18,3.5034e-05,1.7603,1.1285,0.6317
19,3.7036e-05,2.2525,1.1285,1.124
20,3.9038e-05,4.0583,1.129,2.9293
